ERROR | From root -> __init__ line no: 312 | Failed to create client from USER_SESSION_STRING
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d765760>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d765e80>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d7662a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d7669c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d766870>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d7663c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d7660f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d765250>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d7672f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d7674a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d767650>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d767800>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d7679b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d767b60>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a750fb7a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a750fb860>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d766d80>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d766120>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d765b80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d766240>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d766900>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d766690>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d765cd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d766e10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d767e30>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d78c0b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d78c2f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
INFO | From root -> __init__ line no: 1305 | Starting Bot @TGHThingLeech_bot DC: 5.
WARNING | From tzlocal -> unix line no: 142 | /etc/timezone is deprecated on Debian, and no longer reliable. Ignoring.
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa516021e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa516022d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51602450>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa516025d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa516027e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51602990>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51602b40>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51602cf0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51602ea0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603050>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa51603800>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa51603950>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa51603b30>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa51603d10>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa51603ef0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa50494110>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa504942f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa504944d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa504946e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa504948f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa504953a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa50495610>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603800>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603bf0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603f80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603cb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa516038f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603650>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa516031a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa504944d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa50495910>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa50495b20>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa50495d30>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa50495f40>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa50496150>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa50496360>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603dd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa516038f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
